Date;pm25med;cases;deaths
1/1/20;93;0;0
2/1/20;72;0;0
3/1/20;99;0;0
4/1/20;30;0;0
5/1/20;30;0;0
6/1/20;57;0;0
7/1/20;78;0;0
8/1/20;72;0;0
9/1/20;72;0;0
10/1/20;30;0;0
11/1/20;30;0;0
12/1/20;68;0;0
13/1/20;80;0;0
14/1/20;76;0;0
15/1/20;80;0;0
16/1/20;76;0;0
17/1/20;38;0;0
18/1/20;50;0;0
19/1/20;17;0;0
20/1/20;17;0;0
21/1/20;13;0;0
22/1/20;42;0;0
23/1/20;65;0;0
24/1/20;55;0;0
25/1/20;42;0;0
26/1/20;42;0;0
27/1/20;38;0;0
28/1/20;17;0;0
29/1/20;21;0;0
30/1/20;38;0;0
31/1/20;25;0;0
1/2/20;21;1;0
2/2/20;46;0;0
3/2/20;72;0;0
4/2/20;70;0;0
5/2/20;25;0;0
6/2/20;55;0;0
7/2/20;65;0;0
8/2/20;74;0;0
9/2/20;61;0;0
10/2/20;57;1;0
11/2/20;74;0;0
12/2/20;78;0;0
13/2/20;68;0;0
14/2/20;68;0;0
15/2/20;68;0;0
16/2/20;63;0;0
17/2/20;46;0;0
18/2/20;38;0;0
19/2/20;30;0;0
20/2/20;55;0;0
21/2/20;46;0;0
22/2/20;57;0;0
23/2/20;46;0;0
24/2/20;53;0;0
25/2/20;42;1;0
26/2/20;21;6;0
27/2/20;53;8;0
28/2/20;78;18;0
29/2/20;42;19;0
1/3/20;21;28;0
2/3/20;17;54;0
3/3/20;25;56;0
4/3/20;21;75;0
5/3/20;21;81;1
6/3/20;13;183;2
7/3/20;21;233;2
8/3/20;38;330;0
9/3/20;30;433;0
10/3/20;50;772;23
11/3/20;55;975;7
12/3/20;50;1153;12
13/3/20;55;1531;37
14/3/20;42;1683;37
15/3/20;38;2144;15
16/3/20;17;1706;152
17/3/20;21;2503;21
18/3/20;50;3694;182
19/3/20;46;4047;107
20/3/20;46;4569;169
21/3/20;34;5446;235
22/3/20;17;4866;324
23/3/20;17;4646;394
24/3/20;25;7691;462
25/3/20;38;8553;514
26/3/20;30;8954;738
27/3/20;38;9181;655
28/3/20;25;8244;769
29/3/20;34;6424;832
30/3/20;25;5813;838
31/3/20;21;8145;812
1/4/20;21;7413;849
2/4/20;25;7583;864
3/4/20;30;7272;950
4/4/20;30;6663;932
5/4/20;30;5533;809
6/4/20;25;3667;674
7/4/20;30;5209;637
8/4/20;46;5583;743
9/4/20;42;5745;757
10/4/20;42;4537;683
11/4/20;38;4550;605
12/4/20;42;3899;510
13/4/20;46;3030;619
14/4/20;42;3116;517
15/4/20;25;4424;787
16/4/20;25;3820;617
17/4/20;25;3818;585
18/4/20;30;3836;565
20/4/20;25;2218;399
21/4/20;17;2951;430
22/4/20;21;2312;435
23/4/20;30;2916;440
24/4/20;34;2114;367
25/4/20;34;2506;378
26/4/20;34;1641;288
27/4/20;25;1660;0
28/4/20;21;1525;632
29/4/20;21;847;453
30/4/20;25;1241;268
1/5/20;21;1387;281
2/5/20;25;1234;276
3/5/20;34;935;164
4/5/20;46;466;164
5/5/20;17;1039;185
6/5/20;30;880;244
7/5/20;38;921;213
8/5/20;34;1173;181
9/5/20;42;743;227
10/5/20;17;3416;143
11/5/20;17;393;123
12/5/20;25;482;176
13/5/20;21;439;184
14/5/20;21;849;217
15/5/20;17;643;138
16/5/20;21;515;104
17/5/20;34;652;87
18/5/20;34;256;59
19/5/20;30;431;69
20/5/20;30;518;110
21/5/20;38;482;52
22/5/20;57;1787;688
23/5/20;53;466;50
24/5/20;38;482;74
26/5/20;34;859;283
27/5/20;38;510;1
28/5/20;38;1137;1
29/5/20;42;658;2
30/5/20;46;664;4
31/5/20;46;201;2
1/6/20;46;209;0
2/6/20;57;294;0
3/6/20;55;394;1
4/6/20;38;334;5
5/6/20;30;318;1
6/6/20;38;332;1
7/6/20;34;240;1
8/6/20;17;167;0
9/6/20;17;249;0
10/6/20;30;314;0
11/6/20;38;427;0
12/6/20;21;502;0
13/6/20;25;396;0
14/6/20;30;323;0
15/6/20;34;181;0
16/6/20;21;219;0
17/6/20;25;355;0
18/6/20;25;585;0
19/6/20;42;307;1179
20/6/20;38;363;7
21/6/20;42;334;1
22/6/20;42;232;1
23/6/20;50;248;1
24/6/20;53;334;2
25/6/20;53;400;3
26/6/20;46;419;8
27/6/20;34;564;3
28/6/20;25;301;2
29/6/20;38;200;3
30/6/20;50;301;9
1/7/20;53;388;8
2/7/20;30;444;5
3/7/20;25;442;17
4/7/20;25;0;0
5/7/20;25;0;0
6/7/20;34;1244;3
7/7/20;42;341;4
8/7/20;61;383;4
9/7/20;53;543;5
10/7/20;38;852;2
11/7/20;50;0;0
12/7/20;55;0;0
13/7/20;38;2045;3
14/7/20;34;666;3
15/7/20;34;875;4
16/7/20;30;1361;3
17/7/20;25;1400;4
18/7/20;34;0;0
19/7/20;46;0;0
20/7/20;63;4581;2
21/7/20;59;1358;2
22/7/20;57;1357;2
23/7/20;57;2615;3
24/7/20;55;2255;3
25/7/20;42;0;0
26/7/20;55;0;0
27/7/20;59;6361;2
28/7/20;63;1828;2
29/7/20;59;2031;5
30/7/20;57;2789;2
31/7/20;53;3092;2
1/8/20;46;0;0
2/8/20;50;0;0
3/8/20;17;8532;27
4/8/20;21;5760;26
5/8/20;34;2953;1
6/8/20;53;4088;1
7/8/20;46;4507;3
8/8/20;50;0;0
9/8/20;53;0;0
10/8/20;59;8618;73
11/8/20;53;3632;5
12/8/20;38;3172;0
13/8/20;46;7550;26
14/8/20;50;5479;12
15/8/20;30;0;0
16/8/20;25;0;0
17/8/20;25;16269;29
18/8/20;25;5114;24
19/8/20;38;6671;127
20/8/20;34;7039;16
21/8/20;34;8148;25
22/8/20;30;0;0
23/8/20;30;0;0
24/8/20;38;19382;34
25/8/20;53;7117;52
26/8/20;57;7296;47
27/8/20;50;9658;25
28/8/20;30;9779;15
29/8/20;17;0;0
30/8/20;13;0;0
31/8/20;21;23572;83
1/9/20;38;8115;58
2/9/20;30;8581;42
3/9/20;38;8959;40
4/9/20;46;10476;184
5/9/20;42;0;0
6/9/20;42;0;0
7/9/20;30;26560;98
8/9/20;25;8964;78
9/9/20;38;8866;34
10/9/20;38;10764;71
11/9/20;38;12183;48
12/9/20;34;0;0
13/9/20;38;0;0
14/9/20;38;27404;101
15/9/20;53;9437;156
16/9/20;55;11193;239
17/9/20;55;11291;162
18/9/20;34;14389;90
19/9/20;21;0;0
20/9/20;25;0;0
21/9/20;34;31428;168
22/9/20;34;10799;241
23/9/20;30;11289;130
24/9/20;30;10653;84
25/9/20;17;12272;114
26/9/20;17;0;0
27/9/20;13;0;0
28/9/20;34;31785;179
29/9/20;42;9906;203
30/9/20;50;11016;177
1/10/20;34;9419;182
2/10/20;17;11325;113
3/10/20;17;0;0
4/10/20;21;0;0
5/10/20;21;23480;139
6/10/20;30;11998;261
7/10/20;42;10491;76
8/10/20;42;12423;126
9/10/20;55;12788;241
10/10/20;42;0;0
11/10/20;13;0;0
12/10/20;13;27856;195
13/10/20;30;7118;80
14/10/20;17;11970;209
15/10/20;17;13318;140
16/10/20;30;15186;222
17/10/20;42;0;0
18/10/20;46;0;0
19/10/20;53;37889;217
20/10/20;53;13873;218
21/10/20;25;16973;156
22/10/20;30;20986;155
23/10/20;30;19851;231
24/10/20;34;0;0
25/10/20;21;0;0
26/10/20;17;52188;279
27/10/20;21;18418;267
28/10/20;46;19765;168
29/10/20;57;23580;173
30/10/20;59;25595;239
31/10/20;57;0;0
1/11/20;72;0;0
2/11/20;72;55019;379
3/11/20;57;18669;238
4/11/20;17;25042;1623
5/11/20;25;21908;368
6/11/20;57;22516;347
7/11/20;25;0;0
8/11/20;38;0;0
9/11/20;53;52386;512
10/11/20;50;17395;411
11/11/20;57;19096;349
12/11/20;63;19511;356
13/11/20;57;21371;308
14/11/20;72;0;0
15/11/20;46;0;0
16/11/20;50;38273;484
17/11/20;63;13159;435
18/11/20;63;15318;351
19/11/20;53;16233;252
20/11/20;21;15156;328
21/11/20;38;0;0
22/11/20;53;0;0
23/11/20;61;25886;512
24/11/20;70;12228;537
25/11/20;74;10222;369
26/11/20;50;12289;337
27/11/20;34;10853;294
28/11/20;50;0;0
29/11/20;55;0;0
30/11/20;46;19979;401
1/12/20;38;8257;442
2/12/20;25;9331;273
3/12/20;34;10127;254
4/12/20;21;8745;214
5/12/20;17;0;0
6/12/20;17;0;0
7/12/20;17;17681;394
8/12/20;13;0;0
9/12/20;21;9773;373
10/12/20;21;7955;325
11/12/20;21;10519;280
12/12/20;25;0;0
13/12/20;42;0;0
